word,Chinese mean,type
disconcerting,['adj. 令人不安的；打扰人的'],
blurry,['adj. 模糊的；污脏的；不清楚的'],
crucible,['n. 坩埚；严酷的考验'],
entangle,['vt. 使纠缠；卷入；使混乱'],
involved,"['adj. 复杂的；与……关系密切的；专心于……的，忙于……的；卷入的，参与的', 'v. 牵涉，包含（involve的过去式和过去分词）；牵涉，包含（involve 的过去式和过去分词形式）']",
axiomatic,['adj. 公理的；自明的'],
forge,"['v. 形成，缔造；伪造，假冒；稳步前进；锻造；伪装，假冒', 'n. 锻铁炉，锻造车间', '【名】 （Forge）（美）福格（人名）']",
inform,"['v. 通知，告知；告发，检举（inform on）；赋特征于，渗透；了解，熟悉；影响', 'vi. 告发；告密']",
contour,"['n. 轮廓；等高线；周线；电路；概要', 'vt. 画轮廓；画等高线', 'n. (Contour)人名；(法)孔图尔']",
discern,"['vt. 觉察出；识别；了解；隐约看见', 'vi. 辨别']",
fickle,['adj. 浮躁的；易变的；变幻无常的'],
erratic,"['adj. 不稳定的；古怪的', 'n. 漂泊无定的人；古怪的人']",
contemplative,['adj. 沉思的，冥思的；（对宗教问题）冥想的，敛心默祷的'],
confines,"['n. 范围；界限；疆界（confine的复数）', 'vt. 限制；禁闭（confine的三单形式）']",
inscribe,['vt. 题写；题献；铭记；雕'],
purport,"['vt. 声称；意图；意指；打算', 'n. 意义，主旨；意图']",
bystander,['n. 旁观者，局外人'],
dilute,"['v. 稀释，冲淡；削弱，降低；稀释股权；使（颜色）变淡，褪（色）；以一定比例的非熟练工替代（熟练工）', 'adj. 稀释了的，冲淡了的；减弱了的，淡化了的；（颜色）褪了的']",
reconcile,['v. 调和，使协调一致；（使）和解，（使）恢复友好关系；调停，调解（争吵）；使顺从于，使接受；核对，查核（账目）'],
luminous,['adj. 夜光的，发亮的；鲜亮的，鲜艳的；照亮的，明亮的；睿智的，美丽的；光亮的'],
crystallize,"['vt. 使结晶；明确；使具体化；做成蜜饯', 'vi. 结晶，形成结晶；明确；具体化']",
vivify,['vt. 使生动；使活跃；给与生气'],
solitary,"['adj. 独自的，单独的；偏僻的，孤立的；独自完成的；（人或动物）独处的，独居的；（花或其他部分）单生的；唯一的，仅有的', 'n. （非正式）单独监禁；独居者，隐士']",
introspection,['n. 内省；反省'],
insomnia,['n. 失眠症，失眠'],
consummate,"['adj. 至上的；完美的；圆满的', 'vt. 完成；作成；使达到极点']",
embody,"['v. 具体表现，体现；收录，包括；<古>（尤指为军事目的）组织', '【名】 （Embody）（英）恩博迪（人名）']",
"np.concatenate((a,[]),axis=0)",在np数组a最后增加一行,1
"np.delete(a,np.s_[3],axis=0)",删除np数组a的第3行,1
